index,middle,ring,pinky
37.00,62.00,34.00,38.00
36.00,66.00,32.00,36.00
34.00,53.00,31.00,36.00
37.00,72.00,32.00,36.00
34.00,64.00,28.00,36.00
34.00,72.00,26.00,35.00
37.00,69.00,28.00,38.00
36.00,64.00,29.00,36.00
36.00,64.00,28.00,36.00
35.00,64.00,30.00,34.00
40.00,73.00,25.00,38.00
39.00,66.00,28.00,36.00
36.00,68.00,30.00,34.00
33.00,64.00,32.00,32.00
34.00,66.00,30.00,30.00
28.00,66.00,30.00,29.00
23.00,57.00,26.00,32.00
20.00,39.00,20.00,29.00
22.00,38.00,21.00,26.00
23.00,42.00,18.00,26.00
23.00,36.00,18.00,29.00
