index,middle,ring,pinky
23.00,35.00,18.00,30.00
23.00,41.00,20.00,32.00
23.00,42.00,21.00,30.00
26.00,42.00,23.00,31.00
28.00,49.00,23.00,27.00
25.00,42.00,21.00,30.00
26.00,44.00,23.00,30.00
25.00,38.00,22.00,32.00
25.00,36.00,21.00,28.00
24.00,37.00,20.00,32.00
23.00,39.00,23.00,30.00
25.00,37.00,21.00,28.00
25.00,40.00,24.00,28.00
25.00,42.00,23.00,28.00
26.00,44.00,25.00,32.00
27.00,47.00,22.00,28.00
23.00,50.00,23.00,32.00
26.00,46.00,26.00,29.00
29.00,51.00,23.00,31.00
27.00,43.00,25.00,29.00
