index,middle,ring,pinky
14.00,34.00,19.00,22.00
15.00,37.00,18.00,19.00
13.00,35.00,19.00,25.00
14.00,40.00,18.00,24.00
15.00,30.00,19.00,23.00
15.00,35.00,16.00,26.00
14.00,32.00,17.00,23.00
20.00,38.00,22.00,26.00
26.00,51.00,24.00,39.00
32.00,56.00,30.00,42.00
28.00,214.00,26.00,39.00
32.00,57.00,30.00,42.00
30.00,70.00,31.00,44.00
32.00,66.00,30.00,42.00
31.00,68.00,33.00,39.00
30.00,64.00,30.00,46.00
28.00,65.00,31.00,45.00
31.00,59.00,28.00,40.00
28.00,65.00,30.00,38.00
33.00,60.00,31.00,43.00
30.00,61.00,28.00,40.00
