index,middle,ring,pinky
5.00,9.00,14.00,29.00
30.00,46.00,81.00,52.00
83.00,165.00,136.00,70.00
141.00,199.00,144.00,70.00
212.00,242.00,223.00,127.00
205.00,297.00,247.00,81.00
239.00,281.00,251.00,74.00
239.00,303.00,227.00,46.00
231.00,355.00,234.00,42.00
205.00,328.00,227.00,55.00
209.00,321.00,227.00,72.00
202.00,315.00,219.00,66.00
202.00,355.00,227.00,39.00
205.00,386.00,227.00,13.00
205.00,334.00,219.00,32.00
223.00,321.00,212.00,35.00
248.00,321.00,212.00,30.00
227.00,334.00,205.00,28.00
