index,middle,ring,pinky
14.00,37.00,22.00,33.00
16.00,40.00,21.00,37.00
22.00,57.00,43.00,31.00
31.00,125.00,81.00,29.00
62.00,87.00,47.00,31.00
209.00,189.00,77.00,34.00
195.00,472.00,186.00,52.00
159.00,431.00,219.00,92.00
175.00,533.00,208.00,72.00
195.00,576.00,199.00,82.00
202.00,507.00,189.00,81.00
212.00,451.00,189.00,79.00
212.00,472.00,181.00,87.00
235.00,431.00,178.00,90.00
235.00,507.00,178.00,74.00
239.00,472.00,186.00,77.00
239.00,461.00,172.00,76.00
235.00,421.00,172.00,83.00
239.00,431.00,172.00,78.00
