index,middle,ring,pinky
28.00,54.00,28.00,35.00
14.00,50.00,25.00,28.00
15.00,66.00,23.00,26.00
87.00,270.00,140.00,28.00
117.00,483.00,208.00,67.00
235.00,451.00,186.00,39.00
271.00,507.00,170.00,13.00
231.00,591.00,165.00,59.00
209.00,607.00,183.00,75.00
192.00,561.00,178.00,65.00
189.00,533.00,165.00,50.00
231.00,576.00,153.00,55.00
220.00,591.00,172.00,50.00
235.00,576.00,175.00,44.00
231.00,561.00,162.00,50.00
212.00,641.00,165.00,58.00
205.00,591.00,186.00,54.00
235.00,533.00,167.00,58.00
216.00,547.00,167.00,58.00
212.00,591.00,160.00,63.00
209.00,520.00,172.00,46.00
