index,middle,ring,pinky
14.00,34.00,16.00,26.00
8.00,20.00,6.00,26.00
15.00,54.00,-68.00,30.00
26.00,56.00,38.00,19.00
37.00,334.00,94.00,19.00
52.00,370.00,167.00,37.00
154.00,472.00,138.00,22.00
189.00,363.00,119.00,24.00
195.00,355.00,114.00,32.00
183.00,431.00,146.00,44.00
183.00,451.00,108.00,34.00
116.00,386.00,105.00,33.00
209.00,378.00,100.00,36.00
248.00,431.00,114.00,36.00
235.00,507.00,119.00,38.00
235.00,561.00,142.00,50.00
220.00,561.00,140.00,34.00
248.00,472.00,142.00,27.00
261.00,441.00,142.00,34.00
244.00,441.00,148.00,33.00
239.00,451.00,138.00,40.00
239.00,472.00,136.00,38.00
227.00,451.00,142.00,36.00
