index,middle,ring,pinky
23.00,50.00,24.00,39.00
24.00,42.00,20.00,40.00
32.00,79.00,31.00,39.00
43.00,292.00,42.00,35.00
281.00,421.00,119.00,39.00
248.00,421.00,212.00,141.00
244.00,507.00,265.00,205.00
212.00,495.00,239.00,216.00
169.00,441.00,256.00,183.00
169.00,441.00,251.00,189.00
167.00,421.00,251.00,209.00
175.00,421.00,227.00,199.00
212.00,431.00,230.00,195.00
199.00,441.00,219.00,189.00
195.00,421.00,230.00,186.00
192.00,461.00,212.00,180.00
209.00,441.00,223.00,177.00
202.00,421.00,223.00,180.00
