index,middle,ring,pinky
31.00,59.00,26984.00,42.00
34.00,69.00,28.00,44.00
41.00,82.00,39.00,46.00
100.00,334.00,79.00,55.00
195.00,461.00,208.00,86.00
195.00,461.00,219.00,162.00
205.00,495.00,227.00,172.00
199.00,451.00,202.00,172.00
189.00,441.00,192.00,205.00
180.00,431.00,247.00,180.00
199.00,472.00,219.00,183.00
175.00,431.00,189.00,159.00
177.00,421.00,192.00,172.00
177.00,431.00,199.00,157.00
186.00,395.00,186.00,175.00
180.00,461.00,189.00,164.00
169.00,378.00,181.00,150.00
154.00,378.00,189.00,164.00
199.00,421.00,181.00,175.00
