index,middle,ring,pinky
9.00,23.00,10.00,36.00
12.00,36.00,13.00,36.00
15.00,28.00,12.00,33.00
14.00,20.00,10.00,22.00
47.00,256.00,34.00,26.00
223.00,386.00,150.00,21.00
252.00,355.00,181.00,134.00
271.00,370.00,189.00,175.00
252.00,348.00,202.00,180.00
223.00,341.00,208.00,167.00
235.00,303.00,205.00,180.00
244.00,309.00,208.00,183.00
9483.00,303.00,175.00,169.00
216.00,281.00,189.00,180.00
220.00,315.00,199.00,167.00
231.00,315.00,202.00,164.00
252.00,321.00,205.00,167.00
248.00,292.00,183.00,180.00
