index,middle,ring,pinky
0.00,11.00,8.00,33.00
0.00,11.00,6.00,30.00
5.00,14.00,10.00,30.00
69.00,192.00,41.00,34.00
164.00,547.00,42.00,23.00
287.00,451.00,50.00,17.00
239.00,441.00,24.00,15.00
266.00,431.00,28.00,16.00
261.00,441.00,29.00,16.00
235.00,395.00,25.00,16.00
227.00,431.00,26.00,19.00
227.00,421.00,26.00,18.00
227.00,395.00,27.00,18.00
216.00,421.00,10.00,14.00
