index,middle,ring,pinky
25.00,-113.00,48.00,29.00
30.00,34595.00,73.00,30.00
11.00,38.00,14.00,15.00
23.00,203.00,105.00,15.00
183.00,412.00,144.00,31.00
216.00,472.00,153.00,25.00
266.00,461.00,162.00,32.00
244.00,431.00,170.00,34.00
223.00,451.00,148.00,45.00
223.00,547.00,172.00,68.00
298.00,507.00,160.00,63.00
248.00,607.00,172.00,69.00
257.00,533.00,186.00,32.00
252.00,507.00,165.00,35.00
257.00,441.00,160.00,38.00
252.00,461.00,155.00,41.00
244.00,451.00,153.00,44.00
239.00,461.00,160.00,41.00
239.00,451.00,142.00,42.00
261.00,461.00,144.00,42.00
