index,middle,ring,pinky
12.00,12.00,11.00,28.00
11.00,8.00,11.00,28.00
12.00,10.00,9.00,26.00
14.00,20.00,11.00,30.00
22.00,47.00,17.00,30.00
32.00,55.00,19.00,28.00
59.00,210.00,47.00,32.00
114.00,576.00,100.00,23.00
134.00,520.00,195.00,54.00
134.00,547.00,181.00,11.00
189.00,547.00,178.00,10.00
169.00,461.00,175.00,52.00
150.00,472.00,162.00,51.00
145.00,451.00,172.00,56.00
134.00,431.00,162.00,60.00
145.00,431.00,162.00,60.00
180.00,441.00,170.00,54.00
209.00,441.00,162.00,63.00
195.00,451.00,162.00,59.00
