index,middle,ring,pinky
0.74,0.19,0.29,0.70
0.74,0.18,0.28,0.71
0.75,0.19,0.27,0.71
0.76,0.19,0.29,0.72
0.77,0.19,0.27,0.72
0.77,0.21,0.28,0.72
0.76,0.19,0.29,0.72
0.76,0.20,0.29,0.69
0.76,0.19,0.19,0.69
0.77,0.20,0.25,0.64
0.76,0.19,0.28,0.61
0.76,0.18,0.27,0.62
0.74,0.17,0.26,0.63
0.72,0.19,0.27,0.63
0.70,0.16,0.26,0.63
0.73,0.18,0.27,0.62
0.75,0.18,0.27,0.63
0.75,0.19,0.26,0.62
0.75,0.18,0.26,0.61
0.73,0.18,0.27,0.62
0.75,0.18,0.28,0.60
0.74,0.19,0.27,0.61
0.75,0.19,0.28,0.60
0.75,0.19,0.27,0.60
0.76,0.19,0.27,0.62
0.75,0.19,0.28,0.63
0.75,0.19,0.27,0.63
0.76,0.21,0.27,0.61
0.76,0.19,0.28,0.59
0.76,0.20,0.27,0.57
0.74,0.19,0.27,0.58
0.69,0.21,0.27,0.58
0.65,0.20,0.27,0.59
0.63,0.20,0.27,0.58
0.64,0.20,0.27,0.58
0.64,0.20,0.28,0.58
0.67,0.19,0.28,0.59
0.72,0.20,0.27,0.58
0.75,0.20,0.28,0.59
0.78,0.19,0.27,0.58
0.78,0.18,0.28,0.58
0.77,0.19,0.28,0.56
0.78,0.18,0.28,0.54
0.77,0.19,0.27,0.57
0.77,0.20,0.27,0.61
0.77,0.19,0.27,0.63
0.77,0.19,0.27,0.62
0.77,0.19,0.27,0.62
0.75,0.18,0.28,0.63
0.76,0.19,0.27,0.63
0.75,0.19,0.27,0.63
0.75,0.19,0.27,0.63
0.75,0.20,0.29,0.60
0.75,0.20,0.28,0.59
0.74,0.19,0.29,0.59
0.75,0.19,0.29,0.59
0.74,0.20,0.28,0.59
0.74,0.19,0.28,0.60
0.75,0.19,0.29,0.60
0.74,0.20,0.28,0.61
0.74,0.20,0.29,0.61
0.72,0.19,0.29,0.60
0.73,0.19,0.29,0.61
0.71,0.19,0.30,0.61
0.72,0.18,0.29,0.61
0.73,0.19,0.29,0.58
0.72,0.20,0.29,0.57
0.72,0.20,0.29,0.55
0.72,0.20,0.29,0.55
0.72,0.19,0.28,0.52
0.71,0.19,0.29,0.52
0.72,0.19,0.28,0.51
0.72,0.19,0.28,0.48
0.72,0.19,0.29,0.48
0.72,0.18,0.29,0.47
0.71,0.18,0.29,0.49
