index,middle,ring,pinky
0.30,0.20,0.31,0.34
0.29,0.20,0.31,0.34
0.28,0.19,0.31,0.34
0.29,0.20,0.32,0.34
0.30,0.20,0.31,0.33
0.30,0.19,0.32,0.34
0.32,0.21,0.31,0.33
0.33,0.19,0.32,0.34
0.31,0.00,0.31,0.34
0.31,0.18,0.31,0.34
0.32,0.21,0.30,0.36
0.31,0.19,0.30,0.35
0.33,0.20,0.31,0.35
0.33,0.20,0.31,0.35
0.34,0.20,0.30,0.35
0.32,0.20,0.29,0.34
0.31,0.19,0.31,0.34
0.30,0.21,0.31,0.34
0.30,0.21,0.31,0.34
0.30,0.21,0.30,0.34
0.30,0.19,0.31,0.34
0.29,0.19,0.31,0.34
0.31,0.20,0.31,0.34
0.31,0.20,0.31,0.35
0.31,0.20,0.30,0.34
0.31,0.20,0.31,0.35
0.30,0.19,0.31,0.35
0.31,0.20,0.30,0.35
0.32,0.20,0.31,0.35
0.32,0.20,0.31,0.34
0.32,0.20,0.29,0.35
0.32,0.19,0.29,0.35
0.33,0.19,0.29,0.35
0.32,0.19,0.29,0.34
0.33,0.19,0.29,0.32
0.33,0.07,0.31,0.32
0.33,0.19,0.31,0.33
0.34,0.19,0.30,0.34
0.33,0.20,0.32,0.33
0.32,0.18,0.33,0.34
0.32,0.20,0.34,0.34
0.33,0.20,0.33,0.35
0.33,0.20,0.33,0.33
0.34,0.21,0.33,0.34
0.33,0.19,0.33,0.33
0.33,0.19,0.33,0.34
0.34,0.20,0.33,0.33
0.34,0.19,0.33,0.35
0.33,0.20,0.33,0.35
0.33,0.20,0.34,0.34
0.33,0.21,0.32,0.34
0.34,0.20,0.32,0.35
0.33,0.20,0.33,0.35
0.34,0.20,0.33,0.34
0.34,0.20,0.33,0.33
0.34,0.20,0.33,0.33
0.34,0.20,0.33,0.34
0.33,0.19,0.33,0.34
0.34,0.21,0.33,0.33
0.34,0.19,0.33,0.33
0.33,0.19,0.33,0.33
0.34,0.20,0.33,0.33
0.32,0.19,0.32,0.33
0.33,0.19,0.33,0.33
0.34,0.21,0.33,0.33
0.34,0.20,0.33,0.33
0.35,0.21,0.33,0.34
0.34,0.20,0.32,0.34
0.34,0.00,0.32,0.34
0.33,0.20,0.31,0.34
0.33,0.20,0.33,0.33
0.32,0.20,0.32,0.34
0.34,0.21,0.33,0.33
0.33,0.21,0.32,0.34
0.33,0.21,0.34,0.33
0.33,0.20,0.33,0.33
0.33,0.20,0.33,0.34
0.34,0.20,0.32,0.33
0.33,0.19,0.34,0.34
