index,middle,ring,pinky
0.38,0.22,0.34,0.51
0.38,0.22,0.34,0.50
0.39,0.22,0.34,0.51
0.38,0.22,0.34,0.51
0.37,0.22,0.34,0.51
0.38,0.21,0.34,0.51
0.38,0.22,0.33,0.51
0.39,0.22,0.34,0.51
0.39,0.22,0.33,0.51
0.39,0.21,0.34,0.51
0.37,0.22,0.34,0.51
0.38,0.21,0.34,0.51
0.37,0.21,0.34,0.50
0.38,0.23,0.33,0.51
0.36,0.22,0.33,0.51
0.37,0.21,0.33,0.50
0.37,0.21,0.34,0.50
0.36,0.21,0.34,0.50
0.37,0.22,0.32,0.50
0.36,0.20,0.33,0.51
0.36,0.21,0.34,0.51
0.36,0.21,0.34,0.51
0.36,0.21,0.33,0.50
0.37,0.21,0.34,0.50
0.37,0.22,0.33,0.51
0.36,0.20,0.34,0.51
0.37,0.20,0.33,0.51
0.38,0.21,0.34,0.50
0.37,0.19,0.35,0.51
0.37,0.21,0.34,0.50
0.38,0.21,0.34,0.50
0.37,0.20,0.35,0.51
0.38,0.20,0.34,0.50
0.38,0.20,0.34,0.50
0.39,0.21,0.33,0.50
0.37,0.21,0.34,0.50
0.37,0.21,0.34,0.51
0.39,0.20,0.33,0.50
0.38,0.21,0.32,0.50
0.39,0.22,0.31,0.50
0.38,0.22,0.32,0.50
0.38,0.20,0.33,0.50
0.38,0.20,0.33,0.50
0.37,0.21,0.31,0.52
0.38,0.21,0.33,0.59
0.38,0.20,0.32,0.66
0.39,0.22,0.30,0.73
0.38,0.22,0.32,0.80
0.38,0.23,0.31,0.80
0.38,0.22,0.32,0.82
0.37,0.21,0.32,0.80
0.35,0.21,0.31,0.76
0.35,0.21,0.31,0.78
0.35,0.22,0.31,0.77
0.35,0.22,0.31,0.76
0.35,0.21,0.32,0.75
0.35,0.21,0.31,0.75
0.34,0.21,0.31,0.73
0.34,0.21,0.31,0.72
0.33,0.21,0.31,0.70
0.34,0.19,0.31,0.68
0.34,0.22,0.34,0.63
0.34,0.21,0.34,0.65
0.35,0.22,0.32,0.65
0.34,0.22,0.32,0.68
0.34,0.20,0.31,0.69
0.35,0.22,0.31,0.69
0.33,0.21,0.32,0.65
0.34,0.22,0.32,0.61
0.35,0.21,0.30,0.57
0.34,0.20,0.31,0.56
0.35,0.21,0.31,0.56
0.35,0.19,0.31,0.54
0.35,0.20,0.31,0.52
0.36,0.21,0.31,0.53
0.37,0.21,0.31,0.54
0.36,0.21,0.30,0.54
0.37,0.21,0.29,0.53
0.37,0.21,0.29,0.52
0.38,0.21,0.29,0.53
0.37,0.20,0.29,0.53
0.37,0.21,0.30,0.53
0.37,0.21,0.30,0.52
0.37,0.21,0.30,0.51
0.38,0.21,0.30,0.51
0.38,0.21,0.30,0.58
0.38,0.21,0.29,0.66
0.38,0.20,0.30,0.73
0.37,0.21,0.29,0.76
0.38,0.22,0.28,0.77
0.37,0.21,0.29,0.77
0.38,0.22,0.29,0.76
0.37,0.20,0.29,0.77
0.36,0.20,0.28,0.78
0.37,0.21,0.28,0.78
0.36,0.21,0.28,0.76
0.37,0.22,0.27,0.76
0.36,0.21,0.28,0.76
0.37,0.21,0.28,0.76
0.37,0.22,0.29,0.74
0.37,0.22,0.28,0.73
0.37,0.22,0.29,0.72
0.36,0.21,0.29,0.72
0.37,0.22,0.29,0.71
0.37,0.22,0.29,0.72
0.36,0.22,0.29,0.70
0.36,0.22,0.29,0.69
0.36,0.22,0.30,0.68
0.35,0.21,0.30,0.69
0.36,0.22,0.30,0.68
0.36,0.22,0.30,0.65
0.35,0.21,0.30,0.66
0.34,0.21,0.31,0.64
0.35,0.22,0.31,0.60
0.35,0.22,0.32,0.56
0.35,0.22,0.31,0.53
0.35,0.23,0.32,0.51
0.35,0.21,0.32,0.52
0.35,0.22,0.31,0.53
0.35,0.22,0.31,0.51
0.36,0.22,0.32,0.52
0.35,0.22,0.33,0.53
0.35,0.22,0.32,0.53
0.36,0.23,0.32,0.53
0.35,0.22,0.32,0.53
0.35,0.22,0.31,0.52
0.35,0.21,0.33,0.51
0.36,0.23,0.33,0.51
0.36,0.23,0.33,0.54
0.36,0.24,0.33,0.53
0.35,0.23,0.33,0.54
0.35,0.23,0.34,0.55
0.35,0.23,0.34,0.55
0.36,0.23,0.33,0.54
0.35,0.23,0.33,0.54
0.35,0.23,0.33,0.55
0.35,0.22,0.33,0.55
0.36,0.24,0.31,0.55
0.35,0.22,0.33,0.55
0.35,0.23,0.32,0.53
0.34,0.22,0.32,0.55
0.35,0.23,0.32,0.54
0.34,0.22,0.32,0.54
0.35,0.23,0.32,0.50
0.33,0.21,0.31,0.51
0.35,0.23,0.31,0.51
0.35,0.24,0.31,0.51
0.34,0.22,0.32,0.51
0.35,0.23,0.31,0.52
0.35,0.23,0.32,0.49
