index,middle,ring,pinky
0.24,0.33,0.30,0.71
0.24,0.32,0.30,0.71
0.22,0.31,0.30,0.71
0.24,0.32,0.28,0.71
0.22,0.31,0.28,0.71
0.24,0.32,0.29,0.71
0.23,0.32,0.30,0.71
0.24,0.32,0.29,0.73
0.24,0.31,0.28,0.75
0.24,0.31,0.27,0.76
0.24,0.30,0.28,0.76
0.23,0.29,0.27,0.75
0.23,0.30,0.27,0.74
0.23,0.27,0.27,0.75
0.23,0.28,0.27,0.73
0.23,0.28,0.28,0.73
0.24,0.28,0.29,0.73
0.24,0.28,0.28,0.72
0.23,0.28,0.29,0.71
0.24,0.29,0.29,0.71
0.24,0.29,0.29,0.71
0.25,0.29,0.29,0.69
0.25,0.29,0.29,0.70
0.25,0.29,0.29,0.70
0.24,0.29,0.29,0.71
0.25,0.29,0.30,0.70
0.25,0.29,0.30,0.69
0.24,0.29,0.30,0.69
0.25,0.30,0.29,0.69
0.25,0.29,0.30,0.70
0.24,0.28,0.31,0.69
0.24,0.30,0.30,0.68
0.25,0.29,0.30,0.69
0.24,0.29,0.30,0.68
0.23,0.28,0.30,0.69
0.25,0.28,0.30,0.69
0.24,0.29,0.29,0.69
0.23,0.28,0.30,0.69
0.23,0.28,0.27,0.67
0.24,0.29,0.28,0.68
0.23,0.26,0.29,0.69
0.24,0.25,0.29,0.69
0.24,0.25,0.29,0.68
0.24,0.26,0.30,0.69
0.24,0.26,0.29,0.68
0.25,0.27,0.30,0.67
0.26,0.27,0.31,0.68
0.26,0.28,0.30,0.68
0.26,0.27,0.31,0.68
0.26,0.27,0.31,0.68
0.25,0.26,0.31,0.69
0.25,0.26,0.30,0.69
0.25,0.27,0.29,0.68
0.25,0.27,0.28,0.69
0.26,0.26,0.29,0.69
0.26,0.26,0.30,0.69
0.26,0.25,0.30,0.69
0.26,0.26,0.29,0.68
0.26,0.26,0.29,0.67
0.25,0.25,0.29,0.68
0.26,0.25,0.29,0.68
0.26,0.25,0.29,0.67
0.26,0.25,0.28,0.66
0.26,0.25,0.28,0.65
0.26,0.25,0.27,0.66
0.26,0.26,0.29,0.66
0.26,0.26,0.28,0.58
0.25,0.26,0.28,0.60
0.25,0.27,0.27,0.60
0.26,0.26,0.28,0.60
0.26,0.26,0.28,0.61
0.25,0.26,0.28,0.61
0.25,0.26,0.28,0.60
0.25,0.25,0.28,0.61
0.25,0.26,0.28,0.62
0.25,0.25,0.28,0.61
0.27,0.27,0.28,0.62
0.27,0.27,0.29,0.61
0.25,0.26,0.29,0.62
0.25,0.28,0.29,0.61
0.24,0.27,0.29,0.62
0.25,0.27,0.30,0.60
0.25,0.28,0.29,0.60
0.24,0.27,0.30,0.61
0.25,0.27,0.29,0.61
0.26,0.27,0.30,0.61
0.25,0.27,0.28,0.61
0.25,0.26,0.29,0.61
0.25,0.26,0.30,0.62
0.24,0.27,0.30,0.61
0.25,0.26,0.30,0.61
0.25,0.27,0.30,0.61
0.25,0.27,0.29,0.62
0.26,0.27,0.29,0.62
0.26,0.27,0.30,0.61
0.25,0.27,0.30,0.62
0.25,0.27,0.31,0.62
0.25,0.27,0.31,0.62
0.25,0.27,0.29,0.62
0.25,0.27,0.29,0.61
0.24,0.26,0.30,0.62
0.25,0.27,0.30,0.61
0.26,0.27,0.30,0.63
0.25,0.27,0.29,0.63
0.25,0.26,0.30,0.65
0.25,0.26,0.29,0.68
0.26,0.25,0.29,0.67
0.25,0.24,0.28,0.70
0.25,0.24,0.28,0.73
0.26,0.24,0.28,0.72
0.26,0.24,0.28,0.73
0.25,0.25,0.29,0.73
0.26,0.25,0.29,0.72
0.26,0.26,0.30,0.71
0.24,0.26,0.29,0.71
0.25,0.25,0.29,0.70
0.26,0.26,0.28,0.70
0.25,0.26,0.28,0.69
0.25,0.26,0.29,0.68
0.26,0.26,0.28,0.67
0.25,0.26,0.28,0.64
0.25,0.27,0.28,0.67
0.25,0.27,0.29,0.66
0.25,0.28,0.29,0.65
0.25,0.29,0.29,0.64
0.25,0.29,0.28,0.65
0.25,0.29,0.29,0.65
0.25,0.29,0.30,0.65
0.23,0.28,0.29,0.66
0.24,0.28,0.29,0.65
0.24,0.27,0.29,0.65
0.25,0.27,0.30,0.65
0.25,0.27,0.28,0.65
0.25,0.26,0.29,0.64
0.25,0.26,0.30,0.63
0.25,0.25,0.30,0.63
0.23,0.24,0.30,0.64
0.24,0.25,0.30,0.64
0.25,0.23,0.29,0.64
0.25,0.23,0.29,0.64
0.24,0.22,0.30,0.65
0.24,0.22,0.30,0.65
0.25,0.23,0.31,0.63
0.25,0.22,0.29,0.63
0.24,0.22,0.30,0.63
0.25,0.22,0.30,0.62
0.25,0.22,0.31,0.62
0.25,0.23,0.30,0.61
0.24,0.22,0.30,0.61
0.25,0.23,0.30,0.61
0.25,0.23,0.30,0.61
0.25,0.23,0.31,0.62
0.24,0.23,0.30,0.61
0.25,0.23,0.30,0.59
0.24,0.22,0.31,0.59
0.24,0.22,0.30,0.59
0.24,0.23,0.30,0.59
0.25,0.23,0.31,0.58
0.24,0.23,0.31,0.59
0.25,0.23,0.31,0.59
0.25,0.23,0.29,0.58
0.24,0.22,0.31,0.59
0.24,0.22,0.31,0.61
0.25,0.25,0.32,0.60
0.23,0.25,0.32,0.60
0.23,0.25,0.32,0.60
0.24,0.27,0.31,0.60
0.24,0.27,0.33,0.60
0.25,0.28,0.32,0.59
0.24,0.26,0.32,0.62
0.24,0.25,0.32,0.64
0.25,0.24,0.32,0.64
0.24,0.24,0.33,0.65
0.25,0.25,0.33,0.64
0.24,0.25,0.32,0.64
0.25,0.25,0.32,0.65
0.23,0.25,0.33,0.65
0.24,0.25,0.33,0.65
0.23,0.25,0.33,0.65
0.24,0.25,0.33,0.65
0.25,0.25,0.33,0.64
0.24,0.26,0.33,0.64
0.25,0.26,0.34,0.63
0.25,0.26,0.34,0.64
0.24,0.27,0.33,0.65
0.25,0.26,0.31,0.64
0.25,0.26,0.29,0.63
0.25,0.26,0.29,0.62
0.25,0.26,0.29,0.61
0.25,0.26,0.29,0.61
0.25,0.25,0.29,0.61
0.25,0.00,0.28,0.59
0.25,0.21,0.29,0.60
0.25,0.26,0.30,0.59
0.25,0.26,0.29,0.62
