index,middle,ring,pinky
11.00,69.00,26.00,36.00
14.00,96.00,27.00,32.00
12.00,472.00,199.00,31.00
46.00,591.00,227.00,69.00
239.00,520.00,215.00,81.00
205.00,576.00,199.00,72.00
209.00,483.00,183.00,36.00
216.00,412.00,178.00,29.00
186.00,363.00,202.00,54.00
248.00,431.00,195.00,53.00
192.00,403.00,189.00,50.00
189.00,520.00,199.00,60.00
192.00,483.00,178.00,57.00
180.00,431.00,167.00,55.00
172.00,461.00,178.00,51.00
209.00,386.00,165.00,52.00
195.00,421.00,167.00,51.00
189.00,441.00,170.00,51.00
205.00,421.00,172.00,52.00
186.00,451.00,172.00,54.00
183.00,421.00,167.00,56.00
180.00,483.00,170.00,52.00
